AppID,Nombre,Horas Totales,Horas Últimas 2 Semanas,Última Vez Jugado,Logros Totales,Logros Desbloqueados
10,Counter-Strike,0.0,0.0,1969-12-31 19:00:00,0,0
80,Counter-Strike: Condition Zero,0.0,0.0,1969-12-31 19:00:00,0,0
100,Counter-Strike: Condition Zero Deleted Scenes,0.0,0.0,1969-12-31 19:00:00,0,0
300,Day of Defeat: Source,0.0,0.0,1969-12-31 19:00:00,54,0
20,Team Fortress Classic,0.0,0.0,1969-12-31 19:00:00,0,0
30,Day of Defeat,0.0,0.0,1969-12-31 19:00:00,0,0
40,Deathmatch Classic,0.0,0.0,1969-12-31 19:00:00,0,0
50,Half-Life: Opposing Force,0.0,0.0,1969-12-31 19:00:00,0,0
60,Ricochet,0.0,0.0,1969-12-31 19:00:00,0,0
70,Half-Life,4.3,0.0,2024-12-23 19:36:30,0,0
130,Half-Life: Blue Shift,0.0,0.0,1969-12-31 19:00:00,0,0
220,Half-Life 2,0.0,0.0,1969-12-31 19:00:00,69,0
320,Half-Life 2: Deathmatch,0.0,0.0,1969-12-31 19:00:00,0,0
360,Half-Life Deathmatch: Source,0.0,0.0,1969-12-31 19:00:00,0,0
240,Counter-Strike: Source,0.02,0.0,2024-07-24 19:50:01,147,0
280,Half-Life: Source,0.0,0.0,1969-12-31 19:00:00,0,0
6910,Deus Ex: Game of the Year Edition,0.0,0.0,1969-12-31 19:00:00,0,0
6920,Deus Ex: Invisible War,0.0,0.0,1969-12-31 19:00:00,0,0
400,Portal,2.15,0.0,2024-03-01 20:46:46,15,1
3020,Call of Juarez,0.37,0.0,2024-03-02 09:57:24,0,0
15100,Assassin's Creed,27.6,0.0,2022-06-05 15:12:24,0,0
500,Left 4 Dead,0.0,0.0,1969-12-31 19:00:00,73,0
17470,Dead Space (2008),23.88,0.0,2020-03-22 22:59:53,0,0
22330,The Elder Scrolls IV: Oblivion ,0.25,0.0,2024-04-15 18:40:48,0,0
22320,The Elder Scrolls III: Morrowind,0.0,0.0,1969-12-31 19:00:00,0,0
21980,Call of Juarez: Bound in Blood,0.0,0.0,1969-12-31 19:00:00,0,0
6030,STAR WARS™ Jedi Knight II: Jedi Outcast™,0.0,0.0,1969-12-31 19:00:00,0,0
6020,STAR WARS™ Jedi Knight: Jedi Academy™,0.0,0.0,1969-12-31 19:00:00,0,0
20900,The Witcher: Enhanced Edition,0.62,0.0,2024-09-18 20:38:40,0,0
32440,LEGO® Star Wars™: The Complete Saga,12.48,0.0,2024-09-03 19:40:25,0,0
550,Left 4 Dead 2,0.0,0.0,1969-12-31 19:00:00,101,0
32430,STAR WARS™: The Force Unleashed™ Ultimate Sith Edition,11.23,0.0,2024-05-01 20:46:42,0,0
41500,Torchlight,0.0,0.0,1969-12-31 19:00:00,66,0
32500,STAR WARS™: The Force Unleashed™ II,0.0,0.0,1969-12-31 19:00:00,0,0
47780,Dead Space 2,12.6,0.0,2021-01-11 23:59:54,0,0
42910,Magicka,0.0,0.0,1969-12-31 19:00:00,88,0
48190,Assassin's Creed Brotherhood,33.17,0.0,2022-06-11 14:52:39,0,0
32510,LEGO® Star Wars™ III: The Clone Wars™,0.0,0.0,1969-12-31 19:00:00,0,0
620,Portal 2,0.0,0.0,1969-12-31 19:00:00,51,0
22650,Alien Breed 2: Assault,0.0,0.0,1969-12-31 19:00:00,13,0
22670,Alien Breed 3: Descent,0.0,0.0,1969-12-31 19:00:00,13,0
42140,Hamilton's Great Adventure,0.05,0.0,2024-07-01 15:34:10,26,0
20920,The Witcher 2: Assassins of Kings Enhanced Edition,27.4,0.0,2020-10-12 00:11:17,52,21
9200,RAGE,0.0,0.0,1969-12-31 19:00:00,60,0
201870,Assassin's Creed Revelations,15.62,0.0,2020-07-07 23:47:52,48,0
203830,The Dark Eye: Chains of Satinav,0.0,0.0,1969-12-31 19:00:00,36,0
208580,STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™,0.0,0.0,1969-12-31 19:00:00,57,0
32370,STAR WARS™ Knights of the Old Republic™,0.0,0.0,1969-12-31 19:00:00,0,0
200260,Batman: Arkham City GOTY,30.93,0.0,2021-12-09 14:52:21,64,23
50300,Spec Ops: The Line,16.12,0.0,2024-09-18 20:13:14,50,34
108710,Alan Wake,13.83,0.0,2020-02-09 20:01:42,67,31
202750,Alan Wake's American Nightmare,5.65,0.0,2020-02-15 09:48:21,12,5
35140,Batman: Arkham Asylum GOTY Edition,14.63,0.0,2020-04-05 00:44:16,47,24
